Location,Location_Type,Year,Month,Price_Studio,Price_1br,Price_2br,Price_3br,Price_4br,Price_Change_MoM,Price_Change_YoY
"Pascagoula, MS",City,2020,4,572,600,693,973,1162,0,-0.9
"Pearland, TX",City,2020,4,983,1114,1363,1858,2361,-0.1,1.3
"Pembroke Pines, FL",City,2020,4,1534,1897,2406,3312,3988,-0.1,-0.4
"Peoria, AZ",City,2020,4,977,1187,1479,2153,2498,-0.2,3.8
"Peoria, IL",City,2020,4,557,641,822,1043,1195,0.3,0.5
"Perris, CA",City,2020,4,741,886,1109,1558,1919,0,0
"Perry Hall, MD",City,2020,4,1090,1324,1661,2136,2501,-0.1,1.9
"Petersburg, VA",City,2020,4,747,783,904,1198,1459,0,-0.2
"Pflugerville, TX",City,2020,4,1077,1305,1611,2183,2627,-0.9,3.5
"Phenix City, AL",City,2020,4,566,612,761,1047,1305,0,0.4
"Philadelphia, PA",City,2020,4,824,979,1182,1478,1645,0,0.7
"Phoenix, AZ",City,2020,4,731,887,1106,1609,1867,0,2.9
"Pineville, NC",City,2020,4,953,1055,1231,1659,2084,-0.8,3
"Pittsburg, CA",City,2020,4,2068,2542,3194,4297,5109,0,-0.6
"Pittsburgh, PA",City,2020,4,638,740,926,1159,1275,0,0.8
"Plainfield, IN",City,2020,4,706,819,1014,1360,1550,-0.3,4
"Plano, TX",City,2020,4,990,1180,1466,1988,2532,-0.4,1.7
"Pleasanton, CA",City,2020,4,2389,2936,3689,4963,5901,-0.5,-1.9
"Pompano Beach, FL",City,2020,4,942,1166,1478,2035,2450,0.1,0.6
"Pontiac, MI",City,2020,4,606,733,953,1266,1373,0.1,0.4
"Port Huron, MI",City,2020,4,537,648,844,1121,1216,0,0.9
"Port Orange, FL",City,2020,4,809,974,1215,1637,1838,-0.5,-1
"Port Washington, WI",City,2020,4,597,726,900,1134,1273,0.8,2.8
"Portland, OR",City,2020,4,1010,1123,1325,1929,2335,-0.1,-0.4
"Portsmouth, VA",City,2020,4,784,788,949,1324,1652,0.2,3
"Post Falls, ID",City,2020,4,597,650,863,1222,1521,0.4,1.5
"Puyallup, WA",City,2020,4,1374,1572,1958,2842,3381,-0.2,0.9
"Quincy, MA",City,2020,4,1361,1553,1926,2420,2667,-0.2,2.4
"Radcliff, KY",City,2020,4,486,523,695,1011,1224,0.1,0.1
"Rahway, NJ",City,2020,4,1183,1313,1565,2017,2247,0,0.4
"Raleigh, NC",City,2020,4,820,1011,1168,1526,1865,0,1.5
"Rancho Cucamonga, CA",City,2020,4,1213,1451,1815,2550,3142,-0.4,1.2
"Rapid City, SD",City,2020,4,582,646,844,1189,1384,0.2,0.5
"Redlands, CA",City,2020,4,790,945,1182,1661,2046,0,3.9
"Redwood City, CA",City,2020,4,2307,2835,3562,4792,5699,-0.1,1.1
"Reisterstown, MD",City,2020,4,967,1175,1474,1894,2219,0.7,3.7
"Reno, NV",City,2020,4,743,900,1171,1704,2064,0,0.7
"Renton, WA",City,2020,4,1512,1731,2156,3129,3722,-0.1,3.4
"Richardson, TX",City,2020,4,898,1070,1329,1802,2296,-0.8,0.7
"Richland, WA",City,2020,4,677,824,1019,1391,1796,-0.2,0.7
"Richmond, TX",City,2020,4,889,1008,1234,1682,2138,-0.7,1.7
"Richmond, VA",City,2020,4,867,909,1049,1391,1694,0.1,1.4
"Rio Rancho, NM",City,2020,4,661,850,1042,1517,1836,0.1,0.1
"Riverdale, GA",City,2020,4,987,1035,1195,1569,1928,0,0.6
"Riverside, CA",City,2020,4,904,1081,1352,1900,2341,0,1.5
"Riverview, FL",City,2020,4,935,1067,1328,1756,2107,-0.1,2.1
"Roanoke, VA",City,2020,4,570,684,872,1193,1351,0,2.4
"Rochester, NY",City,2020,4,665,786,974,1220,1343,0.4,1.8
"Rock Hill, SC",City,2020,4,800,885,1032,1392,1748,0.4,6.3
"Rockford, IL",City,2020,4,554,621,827,1095,1225,0.1,1.5
"Rockwood, MI",City,2020,4,575,694,904,1200,1302,0.1,2.2
"Rocky Mount, NC",City,2020,4,661,665,839,1151,1287,0.2,-0.6
"Rogers, AR",City,2020,4,632,670,866,1243,1513,-0.1,1.4
"Rohnert Park, CA",City,2020,4,1327,1537,1992,2901,3511,0,0
"Romeoville, IL",City,2020,4,1405,1630,1917,2452,2918,0.4,0.9
"Romulus, MI",City,2020,4,557,674,877,1164,1263,0.1,1.5
"Roseville, MI",City,2020,4,626,756,984,1307,1418,0,0.5
